Title;Artist;Album
Dancing Queen;ABBA;ABBA Gold: Greatest Hits
Knowing Me, Knowing You;ABBA;ABBA Gold: Greatest Hits
Take A Chance On Me;ABBA;ABBA Gold: Greatest Hits
Mamma Mia;ABBA;ABBA Gold: Greatest Hits
Lay All Your Love On Me;ABBA;ABBA Gold: Greatest Hits
Super Trouper;ABBA;ABBA Gold: Greatest Hits
I Have A Dream;ABBA;ABBA Gold: Greatest Hits
The Winner Takes It All;ABBA;ABBA Gold: Greatest Hits
Money, Money, Money;ABBA;ABBA Gold: Greatest Hits
S.O.S.;ABBA;ABBA Gold: Greatest Hits
Chiquitita;ABBA;ABBA Gold: Greatest Hits
Fernando;ABBA;ABBA Gold: Greatest Hits
Voulez Vous;ABBA;ABBA Gold: Greatest Hits
Gimme! Gimme! Gimme! (A Man After Midnight);ABBA;ABBA Gold: Greatest Hits
Does Your Mother Know;ABBA;ABBA Gold: Greatest Hits
One Of Us;ABBA;ABBA Gold: Greatest Hits
The Name Of The Game;ABBA;ABBA Gold: Greatest Hits
Thank You For The Music;ABBA;ABBA Gold: Greatest Hits
Waterloo;ABBA;ABBA Gold: Greatest Hits
Stiff Upper Lip;AC/DC;Stiff Upper Lip
Meltdown;AC/DC;Stiff Upper Lip
House Of Jazz;AC/DC;Stiff Upper Lip
Hold Me Back;AC/DC;Stiff Upper Lip
Safe In New York City;AC/DC;Stiff Upper Lip
Can't Stand Still;AC/DC;Stiff Upper Lip
Can't Stop Rock 'N' Roll;AC/DC;Stiff Upper Lip
Satellite Blues;AC/DC;Stiff Upper Lip
Damned;AC/DC;Stiff Upper Lip
Come And Get It;AC/DC;Stiff Upper Lip
All Screwed Up;AC/DC;Stiff Upper Lip
Give It Up;AC/DC;Stiff Upper Lip
Intro;Aerosmith;Get A Grip
Eat The Rich;Aerosmith;Get A Grip
Get A Grip;Aerosmith;Get A Grip
Fever;Aerosmith;Get A Grip
Livin' On The Edge;Aerosmith;Get A Grip
Flesh;Aerosmith;Get A Grip
Walk On Down;Aerosmith;Get A Grip
Shut Up And Dance;Aerosmith;Get A Grip
Cryin';Aerosmith;Get A Grip
Gotta Love It;Aerosmith;Get A Grip
Crazy;Aerosmith;Get A Grip
Line Up;Aerosmith;Get A Grip
Amazing;Aerosmith;Get A Grip
Boogie Man;Aerosmith;Get A Grip
Orlando Dawn;Liquid;Autentico Ibiza '99
Sing It Back;Moloko;Autentico Ibiza '99
Let Me Be;Manya;Autentico Ibiza '99
Makes Me Love You;Eclipse;Autentico Ibiza '99
Hold On;Jose Nunez Featuring Octahvia;Autentico Ibiza '99
Sunstorm;Hedonix;Autentico Ibiza '99
Get Get Down;Paul Johnson;Autentico Ibiza '99
